city,state_id,lat,lng,zips
Oildale,CA,35.4293,-119.0306,93308 93388
Manhattan Beach,CA,33.8894,-118.3967,90266 90267
Pleasant Hill,CA,37.9539,-122.0759,94523
Westmont,CA,33.9417,-118.3018,90044 90047
San Dimas,CA,34.1082,-117.809,91773
Foster City,CA,37.5553,-122.2659,94404
Dana Point,CA,33.4733,-117.6967,92629 92624
Bell,CA,33.9801,-118.1798,90201
Desert Hot Springs,CA,33.955,-116.5429,92240 92258 92282
Menlo Park,CA,37.4685,-122.1673,94025 94026
Los Gatos,CA,37.2304,-121.9562,95032 95030 95036
Lathrop,CA,37.809,-121.3131,95330 95231
Goleta,CA,34.4361,-119.8594,93117 93118
Fallbrook,CA,33.3693,-117.2259,92028 92088
Spring Valley,CA,32.7317,-116.9766,91977 91978 91979
Fair Oaks,CA,38.6504,-121.2496,95628
Atwater,CA,37.3529,-120.5959,95301
Beverly Hills,CA,34.0786,-118.4021,90211 90210 90212 90209
San Pablo,CA,37.9629,-122.3426,94806
Orcutt,CA,34.8691,-120.4222,93455 93457
Santa Paula,CA,34.3545,-119.0656,93060 93061
Lawndale,CA,33.8884,-118.3531,90260
Laguna Hills,CA,33.5918,-117.6991,92653
La Verne,CA,34.1207,-117.7703,91750
Los Altos,CA,37.3684,-122.0965,94022 94024 94023
Banning,CA,33.946,-116.8992,92220
Burlingame,CA,37.5859,-122.3667,94010 94011
Saratoga,CA,37.2684,-122.0263,95070 95071
San Carlos,CA,37.4982,-122.2677,94070
Monterey,CA,36.5919,-121.8808,93943 93944 93940
Atascadero,CA,35.4827,-120.6858,93422 93423
San Lorenzo,CA,37.6733,-122.1332,94541 94580
Eastern Goleta Valley,CA,34.4448,-119.7879,93111 93110 93160
Suisun City,CA,38.2473,-122.0091,94585
East Palo Alto,CA,37.4671,-122.1352,94303
Twentynine Palms,CA,34.1478,-116.0659,92277 92278
East Niles,CA,35.3683,-118.9225,93306 93307
Temescal Valley,CA,33.7581,-117.4677,92883
Ridgecrest,CA,35.6308,-117.6622,93555 93556
Walnut,CA,34.0334,-117.8593,91789 91788
Belmont,CA,37.5154,-122.2953,94002
Lemon Grove,CA,32.7331,-117.0344,91945 91946
Lemoore,CA,36.2949,-119.7983,93245
Brawley,CA,32.9783,-115.5287,92227
Benicia,CA,38.0725,-122.1526,94510
Sanger,CA,36.699,-119.5575,93657
Eureka,CA,40.7943,-124.1564,95503 95501 95521 95502 95534
South Pasadena,CA,34.1103,-118.1573,91030 91031
Hercules,CA,38.0064,-122.2564,94547 94572
Wasco,CA,35.5938,-119.3671,93280
Windsor,CA,38.5422,-122.8089,95492
North Tustin,CA,33.7636,-117.7947,92705 92780 92711
Imperial Beach,CA,32.5693,-117.118,91932 91933
El Cerrito,CA,37.9196,-122.3025,94530
Galt,CA,38.2698,-121.3004,95632
West Whittier-Los Nietos,CA,33.9759,-118.0689,90606 90610
Reedley,CA,36.5988,-119.4471,93654
Lafayette,CA,37.8919,-122.1189,94549
Norco,CA,33.9252,-117.5498,92860
Dinuba,CA,36.5453,-119.3987,93618
Barstow,CA,34.8661,-117.0471,92311
Mountain House,CA,37.7673,-121.5449,95391
Loma Linda,CA,34.045,-117.2498,92350 92354 92324 92373 92318 92357
Riverbank,CA,37.726,-120.9433,95367 95357
Seal Beach,CA,33.7542,-118.0714,90743 90740
Maywood,CA,33.9886,-118.1877,90270
Selma,CA,36.5715,-119.6143,93662
Soledad,CA,36.4432,-121.3426,93960
Bloomington,CA,34.0601,-117.4013,92316
Patterson,CA,37.4758,-121.1536,95363
Bay Point,CA,38.0329,-121.9615,94565
San Fernando,CA,34.2886,-118.4362,91340 91341
